Precision,System
0.2,FaCoY
0.2,FaCoY
0,FaCoY
0,FaCoY
0.6,FaCoY
0,FaCoY
0.6,FaCoY
0.2,FaCoY
0.2,FaCoY
0.4,FaCoY
0.8,FaCoY
0,FaCoY
0.4,FaCoY
0.4,FaCoY
0.4,FaCoY
0.6,FaCoY
0.4,FaCoY
0.2,FaCoY
0,FaCoY
0,FaCoY
0,FaCoY
0.8,FaCoY
0.6,FaCoY
0.4,FaCoY
0,FaCoY
0.2,FaCoY
0.8,FaCoY
0,FaCoY
0.4,FaCoY
0.4,FaCoY
0.8,FaCoY
0.4,FaCoY
0.2,FaCoY
0.4,FaCoY
0.6,FaCoY
0.2,FaCoY
0.4,FaCoY
0.2,FaCoY
0.8,FaCoY
0.2,FaCoY
0.2,SOrec
0.6,SOrec
0.2,SOrec
0.6,SOrec
0.4,SOrec
0.2,SOrec
1,SOrec
0.8,SOrec
0.6,SOrec
0.4,SOrec
1,SOrec
0,SOrec
0.4,SOrec
0,SOrec
0.4,SOrec
1,SOrec
1,SOrec
0.6,SOrec
0.6,SOrec
1,SOrec
0.4,SOrec
1,SOrec
1,SOrec
0.6,SOrec
0.6,SOrec
0.6,SOrec
1,SOrec
0.4,SOrec
0.6,SOrec
1,SOrec
0.8,SOrec
0.8,SOrec
0.6,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
0.8,SOrec
0.8,SOrec
0.4,SOrec
