Confidence,System
3,SOrec@40
1,SOrec@40
1,SOrec@40
2,SOrec@40
2,SOrec@40
3,SOrec@40
4,SOrec@40
2,SOrec@40
3,SOrec@40
3,SOrec@40
1,SOrec@40
1,SOrec@40
3,SOrec@40
1,SOrec@40
2,SOrec@40
3,SOrec@40
1,SOrec@40
3,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
2,SOrec@40
2,SOrec@40
4,SOrec@40
2,SOrec@40
2,SOrec@40
3,SOrec@40
2,SOrec@40
2,SOrec@40
2,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
2,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
2,SOrec@40
1,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
1,SOrec@40
1,SOrec@40
1,SOrec@40
2,SOrec@40
1,SOrec@40
2,SOrec@40
1,SOrec@40
4,SOrec@40
3,SOrec@40
2,SOrec@40
1,SOrec@40
1,SOrec@40
1,SOrec@40
1,SOrec@40
1,SOrec@40
4,SOrec@40
3,SOrec@40
1,SOrec@40
2,SOrec@40
2,SOrec@40
4,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
1,SOrec@40
4,SOrec@40
1,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
1,SOrec@40
1,SOrec@40
4,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
2,SOrec@40
2,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
1,SOrec@40
2,SOrec@40
3,SOrec@40
1,SOrec@40
1,SOrec@40
3,SOrec@40
4,SOrec@40
1,SOrec@40
2,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
1,SOrec@40
1,SOrec@40
4,SOrec@40
1,SOrec@40
4,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
3,SOrec@40
2,SOrec@40
4,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
1,SOrec@40
3,SOrec@40
4,SOrec@40
1,SOrec@40
3,SOrec@40
4,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
2,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
4,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
3,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
4,SOrec@40
3,SOrec@40
4,SOrec@40
2,SOrec@40
4,SOrec@40
3,SOrec@40
3,SOrec@40
2,SOrec@40
3,SOrec@40
4,SOrec@40
3,SOrec@40
2,SOrec@40
2,SOrec@40
4,SOrec@40
4,SOrec@40
2,SOrec@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
3,FaCoY@40
2,FaCoY@40
3,FaCoY@40
2,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
2,FaCoY@40
2,FaCoY@40
3,FaCoY@40
1,FaCoY@40
3,FaCoY@40
4,FaCoY@40
1,FaCoY@40
4,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
1,FaCoY@40
2,FaCoY@40
1,FaCoY@40
2,FaCoY@40
3,FaCoY@40
4,FaCoY@40
2,FaCoY@40
3,FaCoY@40
2,FaCoY@40
2,FaCoY@40
4,FaCoY@40
3,FaCoY@40
3,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
4,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
2,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
3,FaCoY@40
3,FaCoY@40
1,FaCoY@40
3,FaCoY@40
2,FaCoY@40
2,FaCoY@40
4,FaCoY@40
4,FaCoY@40
3,FaCoY@40
2,FaCoY@40
2,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
4,FaCoY@40
1,FaCoY@40
2,FaCoY@40
2,FaCoY@40
1,FaCoY@40
4,FaCoY@40
2,FaCoY@40
1,FaCoY@40
2,FaCoY@40
1,FaCoY@40
1,FaCoY@40
2,FaCoY@40
1,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
1,FaCoY@40
1,FaCoY@40
2,FaCoY@40
1,FaCoY@40
4,FaCoY@40
4,FaCoY@40
3,FaCoY@40
4,FaCoY@40
1,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
4,FaCoY@40
4,FaCoY@40
3,FaCoY@40
2,FaCoY@40
2,FaCoY@40
3,FaCoY@40
2,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
2,FaCoY@40
2,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
2,FaCoY@40
3,FaCoY@40
3,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
1,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
1,FaCoY@40
2,FaCoY@40
3,FaCoY@40
1,FaCoY@40
4,FaCoY@40
3,FaCoY@40
1,FaCoY@40
4,FaCoY@40
4,FaCoY@40
3,FaCoY@40
4,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
3,FaCoY@40
4,FaCoY@40
4,FaCoY@40
2,FaCoY@40
3,FaCoY@40
3,FaCoY@40
3,FaCoY@40
2,FaCoY@40
1,FaCoY@40
3,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
2,FaCoY@40
3,FaCoY@40
1,FaCoY@40
1,FaCoY@40
3,FaCoY@40
1,FaCoY@40
4,FaCoY@40
2,FaCoY@40
2,FaCoY@40
3,FaCoY@40
2,FaCoY@40
3,FaCoY@40
2,FaCoY@40
3,FaCoY@40
3,FaCoY@40
3,FaCoY@40
3,FaCoY@40
2,FaCoY@40
2,FaCoY@40
2,FaCoY@40
1,FaCoY@40
4,SOrec@50
2,SOrec@50
3,SOrec@50
2,SOrec@50
4,SOrec@50
3,SOrec@50
1,SOrec@50
1,SOrec@50
2,SOrec@50
2,SOrec@50
3,SOrec@50
4,SOrec@50
2,SOrec@50
3,SOrec@50
3,SOrec@50
1,SOrec@50
1,SOrec@50
3,SOrec@50
1,SOrec@50
2,SOrec@50
3,SOrec@50
1,SOrec@50
3,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
2,SOrec@50
2,SOrec@50
4,SOrec@50
2,SOrec@50
2,SOrec@50
3,SOrec@50
2,SOrec@50
2,SOrec@50
2,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
2,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
2,SOrec@50
1,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
2,SOrec@50
1,SOrec@50
1,SOrec@50
1,SOrec@50
2,SOrec@50
1,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
1,SOrec@50
3,SOrec@50
2,SOrec@50
1,SOrec@50
4,SOrec@50
3,SOrec@50
2,SOrec@50
1,SOrec@50
1,SOrec@50
1,SOrec@50
1,SOrec@50
1,SOrec@50
4,SOrec@50
3,SOrec@50
1,SOrec@50
2,SOrec@50
2,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
1,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
1,SOrec@50
4,SOrec@50
1,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
1,SOrec@50
1,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
2,SOrec@50
2,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
1,SOrec@50
2,SOrec@50
3,SOrec@50
1,SOrec@50
1,SOrec@50
3,SOrec@50
4,SOrec@50
1,SOrec@50
2,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
1,SOrec@50
1,SOrec@50
3,SOrec@50
1,SOrec@50
2,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
1,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
1,SOrec@50
1,SOrec@50
4,SOrec@50
1,SOrec@50
4,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
3,SOrec@50
2,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
1,SOrec@50
3,SOrec@50
4,SOrec@50
1,SOrec@50
3,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
2,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
3,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
2,SOrec@50
4,SOrec@50
3,SOrec@50
3,SOrec@50
2,SOrec@50
3,SOrec@50
4,SOrec@50
3,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
4,SOrec@50
2,SOrec@50
2,SOrec@50
4,SOrec@50
4,SOrec@50
2,SOrec@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
3,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
3,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
0,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
3,FaCoY@50
3,FaCoY@50
2,FaCoY@50
3,FaCoY@50
2,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
2,FaCoY@50
2,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
3,FaCoY@50
1,FaCoY@50
3,FaCoY@50
4,FaCoY@50
1,FaCoY@50
4,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
1,FaCoY@50
2,FaCoY@50
1,FaCoY@50
2,FaCoY@50
3,FaCoY@50
4,FaCoY@50
2,FaCoY@50
3,FaCoY@50
2,FaCoY@50
2,FaCoY@50
4,FaCoY@50
3,FaCoY@50
3,FaCoY@50
3,FaCoY@50
1,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
4,FaCoY@50
1,FaCoY@50
1,FaCoY@50
3,FaCoY@50
2,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
3,FaCoY@50
3,FaCoY@50
3,FaCoY@50
1,FaCoY@50
3,FaCoY@50
2,FaCoY@50
2,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
4,FaCoY@50
4,FaCoY@50
3,FaCoY@50
2,FaCoY@50
2,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
3,FaCoY@50
1,FaCoY@50
1,FaCoY@50
4,FaCoY@50
1,FaCoY@50
2,FaCoY@50
2,FaCoY@50
1,FaCoY@50
4,FaCoY@50
2,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
1,FaCoY@50
2,FaCoY@50
1,FaCoY@50
1,FaCoY@50
2,FaCoY@50
1,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
1,FaCoY@50
1,FaCoY@50
2,FaCoY@50
1,FaCoY@50
4,FaCoY@50
4,FaCoY@50
3,FaCoY@50
4,FaCoY@50
1,FaCoY@50
3,FaCoY@50
1,FaCoY@50
1,FaCoY@50
4,FaCoY@50
4,FaCoY@50
3,FaCoY@50
2,FaCoY@50
2,FaCoY@50
3,FaCoY@50
2,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
2,FaCoY@50
2,FaCoY@50
3,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
0,FaCoY@50
3,FaCoY@50
2,FaCoY@50
3,FaCoY@50
3,FaCoY@50
3,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
3,FaCoY@50
1,FaCoY@50
3,FaCoY@50
1,FaCoY@50
1,FaCoY@50
3,FaCoY@50
1,FaCoY@50
2,FaCoY@50
3,FaCoY@50
1,FaCoY@50
4,FaCoY@50
3,FaCoY@50
1,FaCoY@50
4,FaCoY@50
4,FaCoY@50
3,FaCoY@50
4,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
2,FaCoY@50
3,FaCoY@50
4,FaCoY@50
4,FaCoY@50
2,FaCoY@50
3,FaCoY@50
3,FaCoY@50
3,FaCoY@50
2,FaCoY@50
1,FaCoY@50
3,FaCoY@50
3,FaCoY@50
1,FaCoY@50
1,FaCoY@50
1,FaCoY@50
